# Wordlist

# DATA
ID	CHECK_SEGMENTS	CLUSTERFORMAT	CLUSTERID	CONCEPT	CONCEPT_KEY	DOCULECT	IPA	MORPHEMES	OB_ATTESTED	OLD_BURMESE	ORIGINAL_CONCEPT	ORIGINAL_ENTRY	ORIGINAL_TAXNAME	PCOGSETS	PROSTRING	TOKENS	METAGLOSS
2724	! @nh36	0 2 0 0	450	the wife	107	Lashi	mji³³	m j i ³³	?	?	wife n	mji³³  | 0248.33	Leqi (Luxi) TBL	2	CCVT	m j i ³³	the wife
#
1220	! @nh36	0 4 0 1	221	the wild dog	248	Hpun	wéɪkhwì	w é ɪ + kʰ w ì	?	?	dog (wild)	wéɪ khwì  | 0084.16	Hpun (Northern) EJAH-Hpun	4 1	CVCCV	w éɪ ◦ kh w ì	the dog
#
2725	! @nh36	2 1 0	453	the wind	61	Hpun	kălíʼ	k ă + l íʼ	?	?	air / wind	kălíʼ, kălíʔ  | 0552.28	Hpun (Northern) EJAH-Hpun	2 1	CVCVc	k ă ◦ l í ʔ	the wind
2726	! @nh36	2 1 0	453	the wind	61	Hpun	kălíʔ	k ă + l í ʔ	?	?	air / wind	kălíʼ, kălíʔ  | 0552.28	Hpun (Northern) EJAH-Hpun	2 1	CVCVc	k ă ◦ l í ʔ	the wind
2728	! @nh36	0 1 0	453	the wind	61	Achang_Lianghe	lɑi⁵⁵	l ɑ i ⁵⁵	?	?	wind	lɑi⁵⁵  | 0485.22	Achang (Lianghe) JZ-Achang	1	CVT	l ɑi ⁵⁵	the wind
2729	! @nh36	0 1 0	453	the wind	61	Achang_Longchuan	l̥i⁵⁵	l̥ i ⁵⁵	?	?	wind	l̥i⁵⁵  | 7.41	Achang (Longchuan) ZMYYC	1	CVT	l̥ i ⁵⁵	the wind
2730	! @nh36	0 1 0	453	the wind	61	Achang_Luxi	lɯ³¹	l ɯ ³¹	?	?	wind	lɯ³¹  | 981.36	Achang (Luxi) JZ-Achang	1	CVT	l ɯ ³¹	the wind
2731	! @nh36	0 1 0	453	the wind	61	Atsi	lai⁵¹	l a i ⁵¹	?	?	wind	lai⁵¹  | 7.42	Atsi [Zaiwa] ZMYYC	1	CVT	l ai ⁵¹	the wind
2732	! @nh36	0 1 0	453	the wind	61	Burmese_ZMYYC	le	l e ²	?	liy	wind	le²  | 7.39	Burmese (Written) ZMYYC	1	CV	l e	the wind
2733	! @nh36	0 1 0	453	the wind	61	Maru	la³¹	l a ³¹	?	?	wind	la³¹  | 7.43	Maru [Langsu] ZMYYC	1	CVT	l a ³¹	the wind
2740	! @nh36	2 1 0	453	the wind	61	Hpun	kălí	k ă + l í	?	?	wind / air	kălí(ʔ)  | 0552.28	Hpun (Northern) EJAH-Hpun	2 1	CVCV	k ă ◦ l í	the wind
2741	! @nh36	0 1 0	453	the wind	61	Achang_Longchuan	l̥i⁵⁵	l̥ i ⁵⁵	?	?	wind n	l̥i⁵⁵  | 0009.28	Achang (Longchuan) TBL	1	CVT	l̥ i ⁵⁵	the wind
2742	! @nh36	0 1 0	453	the wind	61	Xiandao	lai⁵⁵	l a i ⁵⁵	?	?	wind n	lai⁵⁵  | 0009.29	Achang (Xiandao) TBL	1	CVT	l ai ⁵⁵	the wind
2743	! @nh36	0 1 0	453	the wind	61	Atsi	lai⁵¹	l a i ⁵¹	?	?	wind n	lai⁵¹  | 0009.30	Atsi [Zaiwa] TBL	1	CVT	l ai ⁵¹	the wind
2744	! @nh36	0 1 0	453	the wind	61	Bola	li⁵⁵	l i ⁵⁵	?	?	wind n	li⁵⁵  | 0009.32	Bola (Luxi) TBL	1	CVT	l i ⁵⁵	the wind
2745	! @nh36	0 1 0	453	the wind	61	Maru	la³¹	l a ³¹	?	?	wind n	la³¹  | 0009.31	Langsu (Luxi) TBL	1	CVT	l a ³¹	the wind
2746	! @nh36	0 1 0	453	the wind	61	Lashi	lei³¹	l e i ³¹	?	?	wind n	lei³¹  | 0009.33	Leqi (Luxi) TBL	1	CVT	l ei ³¹	the wind
#
2747	! @nh36	1 2 0	458	the wing	433	Achang_Lianghe	a³¹tuŋ⁵⁵	a ³¹ + t u ŋ ⁵⁵	?	?	wing	a³¹ tuŋ⁵⁵  | 115	Achang (Lianghe) JZ-Achang	1 2	VTCVcT	a ³¹ ◦ t u ŋ ⁵⁵	the wing
2748	! @nh36	1 2 0	458	the wing	433	Achang_Longchuan	a³¹tuŋ⁵⁵	a ³¹ + t u ŋ ⁵⁵	?	?	wing	a³¹ tuŋ⁵⁵  | 115	Achang (Longchuan) JZ-Achang	1 2	VTCVcT	a ³¹ ◦ t u ŋ ⁵⁵	the wing
2749	! @nh36	1 2 0	458	the wing	433	Achang_Luxi	a³¹tɔŋ³¹	a ³¹ + t ɔ ŋ ³¹	?	?	wing	a³¹ tɔŋ³¹  | 194	Achang (Luxi) JZ-Achang	1 2	VTCVcT	a ³¹ ◦ t ɔ ŋ ³¹	the wing
2750	! @nh36	1 2 0	458	the wing	433	Xiandao	a³¹tuŋ⁵⁵	a ³¹ + t u ŋ ⁵⁵	?	?	wing	a³¹ tuŋ⁵⁵  | 347	Achang (Xiandao) DQ-Xiandao	1 2	VTCVcT	a ³¹ ◦ t u ŋ ⁵⁵	the wing
2751	! @nh36	0 2 0	458	the wing	433	Atsi	tuŋ⁵¹	t u ŋ ⁵¹	?	?	wing	tuŋ⁵¹  | 0903.30	Atsi [Zaiwa] JZ-Zaiwa	2	CVcT	t u ŋ ⁵¹	the wing
2752	! @nh36	0 2 0	458	the wing	433	Bola	tauŋ⁵⁵	t a u ŋ ⁵⁵	?	?	wing	tauŋ⁵⁵  | 347	Bola DQ-Bola	2	CVcT	t au ŋ ⁵⁵	the wing
2753	! @nh36	0 2 3	458	the wing	433	Burmese_ZMYYC	toṅ paṁ	t ɔ ŋ ² + p ɑ ṁ ²	?	to₂ṅ paṁ	wing	tɔŋ² pɑṁ²  | 171.39	Burmese (Written) ZMYYC	2 3	CVc_CVc	t o ṅ ◦ p a ṁ	the wing
2754	1 @lingulist, 0 @nh36	1 2 0	458	the wing	433	Hpun	ătɔ́ŋ	ă + t ɔ́ ŋ	?	?	wing	ătɔ́ŋ  | O.7	Hpun (Northern) EJAH-Hpun	1 2	VCVc	ă ◦ t ɔ́ ŋ	the wing
2755	! @nh36	0 2 0	458	the wing	433	Maru	tauŋ³¹	t a u ŋ ³¹	?	?	wing	tauŋ³¹  | 171.43	Maru [Langsu] ZMYYC	2	CVcT	t au ŋ ³¹	the wing
2756	! @nh36	0 2 0	458	the wing	433	Lashi	tuŋ³¹	t u ŋ ³¹	?	?	wing (of bird)	tuŋ³¹  | 6.1.9	Lashi DQ-Lashi	2	CVcT	t u ŋ ³¹	the wing
2757	! @nh36	0 2 0	458	the wing	433	Maru	tauŋ³¹	t a u ŋ ³¹	?	?	wing (of bird)	tauŋ³¹  | 6.1.9	Maru [Langsu] DQ-Langsu	2	CVcT	t au ŋ ³¹	the wing
2758	! @nh36	1 2 0	458	the wing	433	Achang_Longchuan	a³¹tuŋ⁵⁵	a ³¹ + t u ŋ ⁵⁵	?	?	wing n	a³¹ tuŋ⁵⁵  | 0298.28	Achang (Longchuan) TBL	1 2	VTCVcT	a ³¹ ◦ t u ŋ ⁵⁵	the wing
2759	! @nh36	1 2 0	458	the wing	433	Xiandao	a³¹tuŋ⁵⁵	a ³¹ + t u ŋ ⁵⁵	?	?	wing n	a³¹ tuŋ⁵⁵  | 0298.29	Achang (Xiandao) TBL	1 2	VTCVcT	a ³¹ ◦ t u ŋ ⁵⁵	the wing
2760	! @nh36	0 2 0	458	the wing	433	Atsi	tuŋ⁵¹	t u ŋ ⁵¹	?	?	wing n	tuŋ⁵¹  | 0298.30	Atsi [Zaiwa] TBL	2	CVcT	t u ŋ ⁵¹	the wing
2761	! @nh36	0 2 0	458	the wing	433	Bola	tauŋ⁵⁵	t a u ŋ ⁵⁵	?	?	wing n	tauŋ⁵⁵  | 0298.32	Bola (Luxi) TBL	2	CVcT	t au ŋ ⁵⁵	the wing
2762	! @nh36	0 2 0	458	the wing	433	Maru	tauŋ³¹	t a u ŋ ³¹	?	?	wing n	tauŋ³¹  | 0298.31	Langsu (Luxi) TBL	2	CVcT	t au ŋ ³¹	the wing
2763	! @nh36	0 2 0	458	the wing	433	Lashi	tuŋ³¹	t u ŋ ³¹	?	?	wing n	tuŋ³¹  | 0298.33	Leqi (Luxi) TBL	2	CVcT	t u ŋ ³¹	the wing
#
2764	! @nh36	1 2	460	the woman	97	Achang_Longchuan	i³¹ȵɔ³¹	i ³¹ + ȵ ɔ ³¹	?	?	woman	i³¹ ȵɔ³¹  | 291.41	Achang (Longchuan) ZMYYC	1 2	VTCVT	i ³¹ ◦ ȵ ɔ ³¹	the woman
2765	! @nh36	0 0 0 3 0 0 0 0 4	459	the woman	97	Atsi	mji²¹ve²¹	m j i ²¹ + v e ²¹	?	?	woman	mji²¹ ve²¹  | 291.42	Atsi [Zaiwa] ZMYYC	3 4	CCVTCVT	m j i ²¹ ◦ v e ²¹	the woman
2766	! @nh36	0 0 0 3 5 0 0 0 0	459	the woman	97	Burmese_ZMYYC	min³ma¹	m i n ³ + m ɑ ¹	?	?	woman	min³ mɑ¹  | 291.39	Burmese (Written) ZMYYC	3 5	CVcTCVT	m i n ³ ◦ m a ¹	the woman
2767	! @nh36	0 0 0 3 0 0 0 6 0	459	the woman	97	Hpun	mísà	m í + s à	?	?	woman	mísà(ʔ), mízà  | 68	Hpun (Northern) EJAH-Hpun	3 6	CVCV	m í ◦ s à ʔ	the woman
2768	x @lingulist, ! @nh36	0 0 0 3 0 0 0 6 0	459	the woman	97	Hpun	mízà	m í + z à	?	?	woman	mísà(ʔ), mízà  | 68	Hpun (Northern) EJAH-Hpun	3 6	CVCV	m í ◦ z à	the woman
2769	! @nh36	0 0 0 3 0 0 0 0 4	459	the woman	97	Maru	mji³⁵ɣɛ³⁵	m j i ³⁵ + ɣ ɛ ³⁵	?	?	woman	mji³⁵ ɣɛ³⁵  | 291.43	Maru [Langsu] ZMYYC	3 4	CCVTCVT	m j i ³⁵ ◦ ɣ ɛ ³⁵	the woman
2770	! @nh36	0 0 7 3 0 0 8 0 0	459	the woman	97	Achang_Lianghe	tsɑ³¹ȵi³¹tsu⁵⁵	ts ɑ ³¹ + ȵ i ³¹ + ts u ⁵⁵	?	?	woman / female	tsɑ³¹ ȵi³¹ tsu⁵⁵  | 998.35	Achang (Lianghe) JZ-Achang	7 3 8	CVTCVTCVT	ts ɑ ³¹ ◦ ȵ i ³¹ ◦ ts u ⁵⁵	the woman
2771	! @nh36	9 0 0 0 5 0 0 0 0	459	the woman	97	Achang_Luxi	pju³¹ma⁵¹	p j u ³¹ + m a ⁵¹	?	?	woman / female	pju³¹ ma⁵¹  | 0209.33	Achang (Luxi) JZ-Achang	9 5	CCVTCVT	p j u ³¹ ◦ m a ⁵¹	the woman
2772	! @nh36	1 2	460	the woman	97	Achang_Longchuan	i³¹ȵɔ³¹	i ³¹ + ȵ ɔ ³¹	?	?	woman n	i³¹ ȵɔ³¹  | 0174.28	Achang (Longchuan) TBL	1 2	VTCVT	i ³¹ ◦ ȵ ɔ ³¹	the woman
2773	! @nh36	1 2	460	the woman	97	Xiandao	ji³¹ɲɔ³¹	j i ³¹ + ɲ ɔ ³¹	?	?	woman n	ji³¹ ɲɔ³¹  | 0174.29	Achang (Xiandao) TBL	1 2	CVTCVT	j i ³¹ ◦ ɲ ɔ ³¹	the woman
2774	! @nh36	0 0 0 3 0 0 0 0 4	459	the woman	97	Atsi	mji²¹ve²¹	m j i ²¹ + v e ²¹	?	?	woman n	mji²¹ ve²¹  | 0174.30	Atsi [Zaiwa] TBL	3 4	CCVTCVT	m j i ²¹ ◦ v e ²¹	the woman
2775	! @nh36	0 0 0 3 0 0 0 0 4	459	the woman	97	Bola	mi³¹ɣɛ³¹	m i ³¹ + ɣ ɛ ³¹	?	?	woman n	mi³¹ ɣɛ³¹  | 0174.32	Bola (Luxi) TBL	3 4	CVTCVT	m i ³¹ ◦ ɣ ɛ ³¹	the woman
2776	! @nh36	0 0 0 3 0 0 0 0 4	459	the woman	97	Maru	mji³⁵ɤɛ³⁵	m j i ³⁵ + ɤ ɛ ³⁵	?	?	woman n	mji³⁵ ɤ ɛ³⁵  | 0174.31	Langsu (Luxi) TBL	3 4	CCVTVT	m j i ³⁵ ◦ ɤɛ ³⁵	the woman
2777	! @nh36	0 0 0 3 0 0 0 0 4	459	the woman	97	Lashi	mji³³ji³³	m j i ³³ + j i ³³	?	?	woman n	mji³³ ji³³  | 0174.33	Leqi (Luxi) TBL	3 4	CCVTCVT	m j i ³³ ◦ j i ³³	the woman
2778	! @nh36	0 0 7 3 0 0 8 0 0	459	the woman	97	Achang_Lianghe	ɕɑ⁵⁵nɑu⁵⁵tsɑ⁵⁵	ɕ ɑ ⁵⁵ + n ɑ u ⁵⁵ + ts ɑ ⁵⁵	?	?	young woman	ɕɑ⁵⁵ nɑu⁵⁵ tsɑ⁵⁵  | 0444.20	Achang (Lianghe) JZ-Achang	7 3 8	CVTCVTCVT	ɕ ɑ ⁵⁵ ◦ n ɑu ⁵⁵ ◦ ts ɑ ⁵⁵	the woman
2779	! @nh36	10 11	462	the woman	97	Achang_Longchuan	tsaŋ³¹ʑi³¹	ts a ŋ ³¹ + ʑ i ³¹	?	?	young woman	tsaŋ³¹ ʑi³¹  | 294.41	Achang (Longchuan) ZMYYC	10 11	CVcTCVT	ts a ŋ ³¹ ◦ ʑ i ³¹	the woman
2780	! @nh36	0 12 0 3 0 12 0 0 0	459	the woman	97	Achang_Luxi	ʑa⁵¹mi⁵¹ʑa³¹	ʑ a ⁵¹ + m i ⁵¹ + ʑ a ³¹	?	?	young woman	ʑa⁵¹ mi⁵¹ ʑa³¹  | 0179.28	Achang (Luxi) JZ-Achang	12 3 12	CVTCVTCVT	ʑ a ⁵¹ ◦ m i ⁵¹ ◦ ʑ a ³¹	the woman
2781	! @nh36	0 0 7 3 0 0 0 0 0	459	the woman	97	Atsi	tsŏ²¹mji²¹	ts ŏ ²¹ + m j i ²¹	?	?	young woman	tsŏ²¹ mji²¹  | 294.42	Atsi [Zaiwa] ZMYYC	7 3	CVTCCVT	ts ŏ ²¹ ◦ m j i ²¹	the woman
2782	! @nh36	13 14	461	the woman	97	Burmese_ZMYYC	a¹pjo²	ɑ ¹ + p j o ²	?	?	young woman	ɑ¹ pjo²  | 294.39	Burmese (Written) ZMYYC	13 14	VTCCVT	a ¹ ◦ p j o ²	the woman
2783	! @nh36	0 0 7 3 0 0 0 0 0	459	the woman	97	Maru	tsɔ̆³⁵mji³⁵	ts ɔ̆ ³⁵ + m j i ³⁵	?	?	young woman	tsɔ̆³⁵ mji³⁵  | 294.43	Maru [Langsu] ZMYYC	7 3	CVTCCVT	ts ɔ̆ ³⁵ ◦ m j i ³⁵	the woman
#
2784	! @nh36	0 1 0	463	the wood	42	Achang_Longchuan	ʂək⁵⁵	ʂ ə k ⁵⁵	?	?	wood	ʂək⁵⁵  | 469.41	Achang (Longchuan) ZMYYC	1	CVcT	ʂ ə k ⁵⁵	the wood
2785	! @nh36	0 1 3	463	the wood	42	Atsi	sik⁵⁵thuŋ²¹	s i k ⁵⁵ + tʰ u ŋ ²¹	?	?	wood	sik⁵⁵ thuŋ²¹  | 469.42	Atsi [Zaiwa] ZMYYC	1 3	CVcTCVcT	s i k ⁵⁵ ◦ th u ŋ ²¹	the wood
2786	? @nh36	0 1 3	463	the wood	42	Burmese_ZMYYC	sac sāḥ	tʰ ɑ + s tʰ ɑ ³	?	?	wood	thɑs thɑ³  | 469.39	Burmese (Written) ZMYYC	1 3	CVc_CVT	s a c ◦ s ā ḥ	the wood
2787	! @nh36	0 1 0	463	the wood	42	Hpun	ʃàiʔ	ʃ à i ʔ	?	?	wood	ʃàiʔ, shàiʔ  | 401.12	Hpun (Northern) EJAH-Hpun	1	CVc	ʃ ài ʔ	the wood
2788	! @nh36	0 1 0	463	the wood	42	Hpun	shàiʔ	sʰ à i ʔ	?	?	wood	ʃàiʔ, shàiʔ  | 401.12	Hpun (Northern) EJAH-Hpun	1	CVc	sh ài ʔ	the wood
2789	! @nh36	0 1 3	463	the wood	42	Maru	sa̱k⁵⁵thauŋ³⁵	s a̱ k ⁵⁵ + tʰ a u ŋ ³⁵	?	?	wood	sa̱k⁵⁵ thauŋ³⁵  | 469.43	Maru [Langsu] ZMYYC	1 3	CVcTCVcT	s a̱ k ⁵⁵ ◦ th au ŋ ³⁵	the wood
2790	! @nh36	0 1 0	463	the wood	42	Achang_Longchuan	ʂək⁵⁵	ʂ ə k ⁵⁵	?	?	wood / log n	ʂək⁵⁵  | 0511.28	Achang (Longchuan) TBL	1	CVcT	ʂ ə k ⁵⁵	the wood
2791	! @nh36	2	464	the wood	42	Xiandao	pɛn³¹	p ɛ n ³¹	?	?	wood / log n	pɛn³¹  | 0511.29	Achang (Xiandao) TBL	2	CVcT	p ɛ n ³¹	the wood
2792	! @nh36	0 1 3	463	the wood	42	Atsi	sik⁵⁵tu̱m⁵⁵	s i k ⁵⁵ + t u̱ m ⁵⁵	?	?	wood / log n	sik⁵⁵ tu̱m⁵⁵  | 0511.30	Atsi [Zaiwa] TBL	1 3	CVcTCVcT	s i k ⁵⁵ ◦ t u̱ m ⁵⁵	the wood
2793	! @nh36	0 1 3	463	the wood	42	Bola	sak⁵⁵ta̱m³⁵	s a k ⁵⁵ + t a̱ m ³⁵	?	?	wood / log n	sak⁵⁵ ta̱m³⁵  | 0511.32	Bola (Luxi) TBL	1 3	CVcTCVcT	s a k ⁵⁵ ◦ t a̱ m ³⁵	the wood
2794	! @nh36	0 1 3	463	the wood	42	Maru	sak⁵⁵thauŋ³⁵	s a k ⁵⁵ + tʰ a u ŋ ³⁵	?	?	wood / log n	sak⁵⁵ thauŋ³⁵  | 0511.31	Langsu (Luxi) TBL	1 3	CVcTCVcT	s a k ⁵⁵ ◦ th au ŋ ³⁵	the wood
2795	! @nh36	0 1 3	463	the wood	42	Lashi	sə̱k⁵⁵tɔ̱m⁵³	s ə̱ k ⁵⁵ + t ɔ̱ m ⁵³	?	?	wood / log n	sə̱k⁵⁵ tɔ̱m⁵³  | 0511.33	Leqi (Luxi) TBL	1 3	CVcTCVcT	s ə̱ k ⁵⁵ ◦ t ɔ̱ m ⁵³	the wood
2796	! @nh36	4 1 0	463	the wood	42	Hpun	kăʃàiʔ	k ă + ʃ à i ʔ	?	?	wood / timber (cp. Tree)	kăʃàiʔ  | L.271	Hpun (Northern) EJAH-Hpun	4 1	CVCVc	k ă ◦ ʃ ài ʔ	the wood
#
2807	! @nh36	3	466	the worm	297	Hpun	kătɛ́	?	?	?	worm	kătɛ́  | T.23	Hpun (Northern) EJAH-Hpun	3	CVCV	k ă ◦ t ɛ́	the worm
#
2830	! @nh36	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0	467	the year	1368	Achang_Longchuan	n̥ək⁵⁵	n̥ ə k ⁵⁵	?	?	year 1	n̥ək⁵⁵  | 0777.28	Achang (Longchuan) TBL	1	CVcT	n̥ ə k ⁵⁵	the year
2831	! @nh36	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0	467	the year	1368	Xiandao	n̥ɤk⁵⁵	n̥ ɤ k ⁵⁵	?	?	year 1	n̥ɤk⁵⁵  | 0777.29	Achang (Xiandao) TBL	1	CVcT	n̥ ɤ k ⁵⁵	the year
2832	! @nh36	0 0 0 0 0 0 9 0 0 0 0 0 0 0 1 0	467	the year	1368	Atsi	nuʔ²¹ni̱k⁵⁵	n u ʔ ²¹ + n i̱ k ⁵⁵	?	?	year 1	nuʔ²¹ ni̱k⁵⁵  | 69.42	Atsi [Zaiwa] ZMYYC	9 1	CVcTCVcT	n u ʔ ²¹ ◦ n i̱ k ⁵⁵	the year
2833	1 @nh36	0 0 0 0 0 0 0 0 0 0 5 0 0 0 1 0	467	the year	1368	Burmese_ZMYYC	khu¹nhac	kʰ u ¹ + nʰ a c	?	?	year 1	khu¹nhac  | 63.39	Burmese (Written) ZMYYC	5 1	CVTCVc	kh u ¹ ◦ nh a c	the year
2834	! @nh36	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0	467	the year	1368	Hpun	naiʔ	n a i ʔ	?	?	year 1	naiʔ  | 138a	Hpun (Northern) EJAH-Hpun	1	CVc	n ai ʔ	the year
2835	! @nh36	0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0	467	the year	1368	Achang_Lianghe	tshuʔ⁵⁵	tsʰ u ʔ ⁵⁵	?	?	year 2	tshuʔ⁵⁵  | 1171.30	Achang (Lianghe) JZ-Achang	6	CVcT	tsh u ʔ ⁵⁵	the year
2836	! @nh36	0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0	467	the year	1368	Achang_Luxi	tshuʔ⁵⁵	tsʰ u ʔ ⁵⁵	?	?	year 2	tshuʔ⁵⁵  | 1171.30	Achang (Luxi) JZ-Achang	6	CVcT	tsh u ʔ ⁵⁵	the year
2837	! @nh36	0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0	467	the year	1368	Atsi	tsan⁵¹	ts a n ⁵¹	?	?	year 2	tsan⁵¹  | 0777.30	Atsi [Zaiwa] TBL	7	CVcT	ts a n ⁵¹	the year
2838	! @nh36	0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0	467	the year	1368	Bola	tɛ̃⁵⁵	t ɛ̃ ⁵⁵	?	?	year 2	tɛ̃⁵⁵  | 0777.32	Bola (Luxi) TBL	7	CVVT	t ɛ̃ ∼ ⁵⁵	the year
2839	! @nh36	0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0	467	the year	1368	Maru	tsəŋ³¹	ts ə ŋ ³¹	?	?	year 2	tsəŋ³¹  | 0777.31	Langsu (Luxi) TBL	7	CVcT	ts ə ŋ ³¹	the year
2840	! @nh36	0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0	467	the year	1368	Lashi	tsan³¹	ts a n ³¹	?	?	year 2	tsan³¹  | 0777.33	Leqi (Luxi) TBL	7	CVcT	ts a n ³¹	the year
#
2841	! @nh36	10 11 12	469	the year after next year	1368	Xiandao	ta³¹choŋ³¹thoʔ³⁵	t a ³¹ + c h o ŋ ³¹ + tʰ o ʔ ³⁵	?	?	year after next	ta³¹ choŋ³¹ thoʔ³⁵  | 0782.29	Achang (Xiandao) TBL	10 11 12	CVTCVcTCVcT	t a ³¹ ◦ ch o ŋ ³¹ ◦ th o ʔ ³⁵	the year
2842	! @nh36	0 0 0 0 0 0 0 0 0 13 0 0 0 0 1 0	467	the year after next year	1368	Atsi	nuʔ²¹ni̱k⁵⁵	n u ʔ ²¹ + n i̱ k ⁵⁵	?	?	year after next	nuʔ²¹ ni̱k⁵⁵  | 0782.30	Atsi [Zaiwa] TBL	13 1	CVcTCVcT	n u ʔ ²¹ ◦ n i̱ k ⁵⁵	the year
2843	! @nh36	0 0 0 0 0 0 0 0 0 0 0 0 0 14 1 0	467	the year after next year	1368	Bola	pa⁵⁵na̱k⁵⁵	p a ⁵⁵ + n a̱ k ⁵⁵	?	?	year after next	pa⁵⁵ na̱k⁵⁵  | 0782.32	Bola (Luxi) TBL	14 1	CVTCVcT	p a ⁵⁵ ◦ n a̱ k ⁵⁵	the year
2844	! @nh36	0 0 0 0 0 0 0 0 0 0 0 0 0 14 1 0	467	the year after next year	1368	Maru	pə̆³¹na̱k⁵⁵	p ə̆ ³¹ + n a̱ k ⁵⁵	?	?	year after next	pə̆³¹ na̱k⁵⁵  | 0782.31	Langsu (Luxi) TBL	14 1	CVTCVcT	p ə̆ ³¹ ◦ n a̱ k ⁵⁵	the year
2845	! @nh36	0 0 0 0 0 0 0 0 0 13 0 0 0 0 1 0	467	the year after next year	1368	Lashi	nuŋ³³nə̱k⁵⁵	n u ŋ ³³ + n ə̱ k ⁵⁵	?	?	year after next	nuŋ³³ nə̱k⁵⁵  | 0782.33	Leqi (Luxi) TBL	13 1	CVcTCVcT	n u ŋ ³³ ◦ n ə̱ k ⁵⁵	the year
#
2846	? @nh36	25	468	the year before last year	1368	Achang_Lianghe	**	* *	?	?	year before last	**  | 170	Achang (Lianghe) JZ-Achang	25	C	**	the year
2847	! @nh36	0 0 0 15 16 0 0 0 0 0 0 0 0 0 1 0	467	the year before last year	1368	Achang_Longchuan	si⁵¹tă³¹nək⁵⁵	s i ⁵¹ + t ă ³¹ + n ə k ⁵⁵	?	?	year before last	si⁵¹ tă³¹ nək⁵⁵  | 0780.28	Achang (Longchuan) TBL	15 16 1	CVTCVTCVcT	s i ⁵¹ ◦ t ă ³¹ ◦ n ə k ⁵⁵	the year
2848	! @nh36	0 0 0 15 16 0 0 0 0 0 0 0 0 0 1 0	467	the year before last year	1368	Achang_Longchuan	si³¹tă³¹nək⁵⁵	s i ³¹ + t ă ³¹ + n ə k ⁵⁵	?	?	year before last	si³¹ tă³¹ nək⁵⁵  | 68.41	Achang (Longchuan) ZMYYC	15 16 1	CVTCVTCVcT	s i ³¹ ◦ t ă ³¹ ◦ n ə k ⁵⁵	the year
2849	! @nh36	0 0 0 0 0 0 0 17 18 0 0 0 6 0 0 0	467	the year before last year	1368	Achang_Luxi	xau³⁵ɯ⁵⁵tshuʔ⁵⁵	x a u ³⁵ + ɯ ⁵⁵ + tsʰ u ʔ ⁵⁵	?	?	year before last	xau³⁵ ɯ⁵⁵ tshuʔ⁵⁵  | 0725.03	Achang (Luxi) JZ-Achang	17 18 6	CVTVTCVcT	x au ³⁵ ◦ ɯ ⁵⁵ ◦ tsh u ʔ ⁵⁵	the year
2850	! @nh36	0 0 0 0 0 0 0 17 0 0 0 0 0 0 1 0	467	the year before last year	1368	Xiandao	sai³⁵n̥ɤk⁵⁵	s a i ³⁵ + n̥ ɤ k ⁵⁵	?	?	year before last	sai³⁵ n̥ɤk⁵⁵  | 0780.29	Achang (Xiandao) TBL	17 1	CVTCVcT	s ai ³⁵ ◦ n̥ ɤ k ⁵⁵	the year
2851	! @nh36	0 0 0 0 0 0 0 17 0 0 0 0 0 0 1 0	467	the year before last year	1368	Atsi	xi⁵¹ni̱k⁵⁵	x i ⁵¹ + n i̱ k ⁵⁵	?	?	year before last	xi⁵¹ ni̱k⁵⁵  | 0780.30	Atsi [Zaiwa] TBL	17 1	CVTCVcT	x i ⁵¹ ◦ n i̱ k ⁵⁵	the year
2852	! @nh36	0 0 0 0 0 0 0 17 0 0 0 0 0 0 1 0	467	the year before last year	1368	Bola	xəi³⁵na̱k⁵⁵	x ə i ³⁵ + n a̱ k ⁵⁵	?	?	year before last	xəi³⁵ na̱k⁵⁵  | 0780.32	Bola (Luxi) TBL	17 1	CVTCVcT	x əi ³⁵ ◦ n a̱ k ⁵⁵	the year
2853	1 @lingulist, 0 @nh36	0 0 0 0 16 19 0 0 0 0 0 0 0 0 1 0	467	the year before last year	1368	Burmese_ZMYYC	ta¹mran²nhac	t ɑ ¹ + m r ɑ n ² + h n ɑ s	?	?	year before last	tɑ¹mrɑn²hnɑs  | 68.39	Burmese (Written) ZMYYC	16 19 1	CVTCCVcTCVc	t a ¹ ◦ m r a n ² ◦ nh a c	the year
2854	! @nh36	0 0 0 0 0 0 0 17 0 0 0 0 0 0 1 0	467	the year before last year	1368	Maru	xək⁵⁵na̱k⁵⁵	x ə k ⁵⁵ + n a̱ k ⁵⁵	?	?	year before last	xək⁵⁵ na̱k⁵⁵  | 0780.31	Langsu (Luxi) TBL	17 1	CVcTCVcT	x ə k ⁵⁵ ◦ n a̱ k ⁵⁵	the year
