# Wordlist

# DATA
ID	DOCULECT	CHECK_SEGMENTS	CLUSTERFORMAT	CLUSTERID	CONCEPT	CONCEPT_KEY	IPA	METAGLOSS	MORPHEMES	OB_ATTESTED	OLD_BURMESE	ORIGINAL_CONCEPT	ORIGINAL_ENTRY	ORIGINAL_TAXNAME	PCOGSETS	PROSTRING	TOKENS
#
1818	Achang_Lianghe	! @nh36	1	307	the louse	343	ʂɛn³¹	the louse	ʂ ɛ n ³¹	?	?	louse	ʂɛn³¹  | 562.44	Achang (Lianghe) JZ-Achang	1	CVcT	ʂ ɛ n ³¹
1824	Achang_Longchuan	! @nh36	1	307	the louse	343	ʂan³¹	the louse	ʂ a n ³¹	?	?	louse n	ʂan³¹  | 0356.28	Achang (Longchuan) TBL	1	CVcT	ʂ a n ³¹
1819	Achang_Longchuan_B	! @nh36	1	307	the louse	343	ʂan³¹	the louse	ʂ a n ³¹	?	?	louse	ʂan³¹  | 162.41	Achang (Longchuan) ZMYYC	1	CVcT	ʂ a n ³¹
1820	Achang_Luxi	! @nh36	1	307	the louse	343	sən⁵⁵	the louse	s ə n ⁵⁵	?	?	louse	sən⁵⁵  | 0982.49	Achang (Luxi) JZ-Achang	1	CVcT	s ə n ⁵⁵
1826	Atsi	! @nh36	1	307	the louse	343	ʃin²¹	the louse	ʃ i n ²¹	?	?	louse n	ʃin²¹  | 0356.30	Atsi [Zaiwa] TBL	1	CVcT	ʃ i n ²¹
1821	Atsi_B	! @nh36	1	307	the louse	343	ʃin²¹	the louse	ʃ i n ²¹	?	?	louse	ʃin²¹  | 162.42	Atsi [Zaiwa] ZMYYC	1	CVcT	ʃ i n ²¹
1827	Bola	! @nh36	1	307	the louse	343	ʃɔn³⁵	the louse	ʃ ɔ n ³⁵	?	?	louse n	ʃɔn³⁵  | 0356.32	Bola (Luxi) TBL	1	CVcT	ʃ ɔ n ³⁵
1822	Burmese_ZMYYC	? @nh36	1	307	the louse	343	sanḥ	the louse	s ɑ n ³	?	?	louse	thɑn³  | 162.39	Burmese (Written) ZMYYC	1	CVcT	s a n ḥ
1829	Lashi	! @nh36	1	307	the louse	343	ʃɛ̱n⁵⁵	the louse	ʃ ɛ̱ n ⁵⁵	?	?	louse n	ʃɛ̱n⁵⁵  | 0356.33	Leqi (Luxi) TBL	1	CVcT	ʃ ɛ̱ n ⁵⁵
1828	Maru	! @nh36	1	307	the louse	343	ʃiŋ³⁵	the louse	ʃ i ŋ ³⁵	?	?	louse n	ʃiŋ³⁵  | 0356.31	Langsu (Luxi) TBL	1	CVcT	ʃ i ŋ ³⁵
1823	Maru_B	! @nh36	1	307	the louse	343	ʃiŋ³⁵	the louse	ʃ i ŋ ³⁵	?	?	louse	ʃiŋ³⁵  | 162.43	Maru [Langsu] ZMYYC	1	CVcT	ʃ i ŋ ³⁵
1825	Xiandao	! @nh36	1	307	the louse	343	ʂan³¹	the louse	ʂ a n ³¹	?	?	louse n	ʂan³¹  | 0356.29	Achang (Xiandao) TBL	1	CVcT	ʂ a n ³¹
#
877	Maru_C	! @nh36	1 0 0 0 0 7 0 0	169	the lower arm	414	lɔʔ³¹pau⁵⁵	the arm	l ɔ ʔ ³¹ + p a u ⁵⁵	?	?	forearm / lower arm	lɔʔ³¹ pau⁵⁵  | 6.1.5	Maru [Langsu] DQ-Langsu	1 7	CVcTCVT	l ɔ ʔ ³¹ ◦ p au ⁵⁵
#
41	Maru_C	! @nh36	0 0 0 13 14 0 0 8 0 0 0 0 0 2 0 0	6	the lower back	1267	ɔ³¹mɛ³¹kauŋ³¹tɔ̃⁵⁵	back	ɔ ³¹ + m ɛ ³¹ + k a u ŋ ³¹ + t ɔ̃ ⁵⁵	?	?	lower back	ɔ³¹ mɛ³¹ kauŋ³¹ tɔ̃⁵⁵  | 5.5.2	Maru [Langsu] DQ-Langsu	13 14 8 2	VTCVTCVcTCVVT	ɔ ³¹ ◦ m ɛ ³¹ ◦ k au ŋ ³¹ ◦ t ɔ̃ ∼ ⁵⁵
#
1089	Lashi_B	! @nh36	0 0 0 0 0 0 0 11 0 0 0 0 0 3	204	the male pubic hair	369	ŋji̱⁵⁵mou⁵⁵	the body hair	ŋ j i̱ ⁵⁵ + m o u ⁵⁵	?	?	male pubic hair	ŋji̱⁵⁵ mou⁵⁵  | 10.3.6	Lashi DQ-Lashi	11 3	CCVTCVT	ŋ j i̱ ⁵⁵ ◦ m ou ⁵⁵
1090	Maru_C	! @nh36	0 0 0 0 0 0 0 11 0 0 0 0 0 3	204	the male pubic hair	369	ŋji̱³⁵muk⁵⁵	the body hair	ŋ j i̱ ³⁵ + m u k ⁵⁵	?	?	male pubic hair	ŋji̱³⁵ muk⁵⁵  | 10.3.6	Maru [Langsu] DQ-Langsu	11 3	CCVTCVcT	ŋ j i̱ ³⁵ ◦ m u k ⁵⁵
#
1834	Achang_Lianghe	! @nh36	0 0 6 2 0 7	308	the man	96	ȵi³¹kɛ⁵⁵tsu⁵⁵	the man	ȵ i ³¹ + k ɛ ⁵⁵ + ts u ⁵⁵	?	?	man / male	ȵi³¹ kɛ⁵⁵ tsu⁵⁵  | 0773.40	Achang (Lianghe) JZ-Achang	6 2 7	CVTCVTCVT	ȵ i ³¹ ◦ k ɛ ⁵⁵ ◦ ts u ⁵⁵
1838	Achang_Longchuan	! @nh36	1 0 0 2 0 0	308	the man	96	i³¹tɕi⁵⁵	the man	i ³¹ + tɕ i ⁵⁵	?	?	man n	i³¹ tɕi⁵⁵  | 0173.28	Achang (Longchuan) TBL	1 2	VTCVT	i ³¹ ◦ tɕ i ⁵⁵
1830	Achang_Longchuan_B	! @nh36	0 8 0 0 0 7	308	the man	96	i³¹tɕi⁵⁵	the man	i ³¹ + tɕ i ⁵⁵	?	?	man (male person)	i³¹ tɕi⁵⁵  | 290.41	Achang (Longchuan) ZMYYC	8 7	VTCVT	i ³¹ ◦ tɕ i ⁵⁵
1835	Achang_Luxi	! @nh36	4 5	309	the man	96	pju³¹phau³⁵	the man	p j u ³¹ + pʰ a u ³⁵	?	?	man / male	pju³¹ phau³⁵  | 0208.33	Achang (Luxi) JZ-Achang	4 5	CCVTCVT	p j u ³¹ ◦ ph au ³⁵
1840	Atsi	! @nh36	1 0 0 2 0 0	308	the man	96	juʔ²¹ke⁵¹	the man	j u ʔ ²¹ + k e ⁵¹	?	?	man n	juʔ²¹ ke⁵¹  | 0173.30	Atsi [Zaiwa] TBL	1 2	CVcTCVT	j u ʔ ²¹ ◦ k e ⁵¹
1831	Atsi_B	! @nh36	1 0 0 2 0 0	308	the man	96	juʔ²¹ke⁵¹	the man	j u ʔ ²¹ + k e ⁵¹	?	?	man (male person)	juʔ²¹ ke⁵¹  | 290.42	Atsi [Zaiwa] ZMYYC	1 2	CVcTCVT	j u ʔ ²¹ ◦ k e ⁵¹
1841	Bola	! @nh36	1 0 0 2 0 0	308	the man	96	jauʔ³¹kai⁵⁵	the man	j a u ʔ ³¹ + k a i ⁵⁵	?	?	man n	jauʔ³¹ kai⁵⁵  | 0173.32	Bola (Luxi) TBL	1 2	CVcTCVT	j au ʔ ³¹ ◦ k ai ⁵⁵
1832	Burmese_ZMYYC	? @nh36	1 0 0 2 0 0	308	the man	96	yok kyaḥ	the man	j ɔ + k k j ɑ ³	?	?	man (male person)	jɔk kjɑ³  | 290.39	Burmese (Written) ZMYYC	1 2	CVc_CCVT	y o k ◦ k y a ḥ
1836	Hpun	? @nh36	1 0 0 0 3 0	308	the man	96	yóksà	the man	y ó + ks à	?	?	man / male person	yóksà, yᴜ́ksà  | 70	Hpun (Northern) EJAH-Hpun	1 3	CVCV	y ó ◦ ks à
1837	Hpun	? @nh36	1 0 0 0 3 0	308	the man	96	yᴜ́ksà	the man	y ᴜ́ + ks à	?	?	man / male person	yóksà, yᴜ́ksà  | 70	Hpun (Northern) EJAH-Hpun	1 3	CVCV	y ᴜ́ ◦ ks à
2124	Hpun	1 @lingulist, 0 @nh36	12 13	361	the man	95	yóksà	the person	y ó + ks à	?	?	man / male person	yóksà, yᴜ́ksà  | 70	Hpun (Northern) EJAH-Hpun	12 13	CVCV	y ó k ◦ s à
2125	Hpun	1 @lingulist, 0 @nh36	12 13	361	the man	95	yᴜ́ksà	the person	y ᴜ́ + ks à	?	?	man / male person	yóksà, yᴜ́ksà  | 70	Hpun (Northern) EJAH-Hpun	12 13	CVCV	y ᴜ́ k ◦ s à
1843	Lashi	! @nh36	1 0 0 2 0 0	308	the man	96	juʔ⁵⁵kɛ³¹	the man	j u ʔ ⁵⁵ + k ɛ ³¹	?	?	man n	juʔ⁵⁵ kɛ³¹  | 0173.33	Leqi (Luxi) TBL	1 2	CVcTCVT	j u ʔ ⁵⁵ ◦ k ɛ ³¹
1842	Maru	! @nh36	1 0 0 2 0 0	308	the man	96	jauk³¹kai³¹	the man	j a u k ³¹ + k a i ³¹	?	?	man n	jauk³¹ kai³¹  | 0173.31	Langsu (Luxi) TBL	1 2	CVcTCVT	j au k ³¹ ◦ k ai ³¹
1833	Maru_B	! @nh36	1 0 0 2 0 0	308	the man	96	jauk³¹kai³¹	the man	j a u k ³¹ + k a i ³¹	?	?	man (male person)	jauk³¹ kai³¹  | 290.43	Maru [Langsu] ZMYYC	1 2	CVcTCVT	j au k ³¹ ◦ k ai ³¹
1839	Xiandao	! @nh36	1 0 0 0 3 0	308	the man	96	juʔ³¹ɕɛ⁵⁵	the man	j u ʔ ³¹ + ɕ ɛ ⁵⁵	?	?	man n	juʔ ³¹ ɕɛ⁵⁵  | 0173.29	Achang (Xiandao) TBL	1 3	CVcTCVT	j u ʔ ³¹ ◦ ɕ ɛ ⁵⁵
#
1847	Hpun	! @nh36	3 4 5	312	the marrow	1940	ăʀùăsháiŋ/ʃáiŋ	the marrow	?	?	?	marrow (lit. = bone-oil)	ăʀù ăsháiŋ/(ă)ʃáiŋ  | N.7	Hpun (Northern) EJAH-Hpun	3 4 5	VCVCVcCVc	ă ʀ ù ◦ ă ◦ sh ái ŋ
1845	Lashi_B	! @nh36	1 2	311	the marrow	1940	jou³³khjaŋ³³	the marrow	j o u ³³ + kʰ j a ŋ ³³	?	?	marrow	jou³³ khjaŋ³³  | 9.1.2	Lashi DQ-Lashi	1 2	CVTCCVcT	j ou ³³ ◦ kh j a ŋ ³³
1846	Maru_D	? @nh36	0 2	311	the marrow	1940	khyòh	the marrow	kʰ y ò h	?	?	marrow	khyòh  | 396	Maru [Langsu] JO-PB	2	CCVc	kh y ò h
#
1852	Achang_Longchuan	! @nh36	0 1 0 2 0 0	313	the meat	597	sua³¹muan⁵⁵	the meat	s u a ³¹ + m u a n ⁵⁵	?	?	meat (lean) n	sua³¹ muan⁵⁵  | 0444.28	Achang (Longchuan) TBL	1 2	CVTCVcT	s ua ³¹ ◦ m ua n ⁵⁵
1862	Achang_Longchuan	! @nh36	0 1 0 0 0 0	313	the meat	597	ʂua³¹	the meat	ʂ u a ³¹	?	?	meat n	ʂua³¹  | 0443.28	Achang (Longchuan) TBL	1	CVT	ʂ ua ³¹
1858	Achang_Longchuan_B	! @nh36	0 1 0 0 0 0	313	the meat	597	ʂua³¹	the meat	ʂ u a ³¹	?	?	meat / flesh	ʂua³¹  | 399.41	Achang (Longchuan) ZMYYC	1	CVT	ʂ ua ³¹
1854	Atsi	! @nh36	0 1 0 0 0 4	313	the meat	597	ʃŏ²¹ni̱k⁵⁵	the meat	ʃ ŏ ²¹ + n i̱ k ⁵⁵	?	?	meat (lean) n	ʃŏ²¹ ni̱k⁵⁵  | 0444.30	Atsi [Zaiwa] TBL	1 4	CVTCVcT	ʃ ŏ ²¹ ◦ n i̱ k ⁵⁵
1864	Atsi	! @nh36	0 1 0 0 0 0	313	the meat	597	ʃo²¹	the meat	ʃ o ²¹	?	?	meat n	ʃo²¹  | 0443.30	Atsi [Zaiwa] TBL	1	CVT	ʃ o ²¹
1859	Atsi_B	! @nh36	0 1 0 0 0 0	313	the meat	597	ʃo²¹	the meat	ʃ o ²¹	?	?	meat / flesh	ʃo²¹  | 399.42	Atsi [Zaiwa] ZMYYC	1	CVT	ʃ o ²¹
1855	Bola	! @nh36	0 1 0 0 5 0	313	the meat	597	ʃă³⁵kai⁵⁵	the meat	ʃ ă ³⁵ + k a i ⁵⁵	?	?	meat (lean) n	ʃă³⁵ kai⁵⁵  | 0444.32	Bola (Luxi) TBL	1 5	CVTCVT	ʃ ă ³⁵ ◦ k ai ⁵⁵
1865	Bola	! @nh36	0 1 0 0 0 0	313	the meat	597	ʃa³⁵	the meat	ʃ a ³⁵	?	?	meat n	ʃa³⁵  | 0443.32	Bola (Luxi) TBL	1	CVT	ʃ a ³⁵
1851	Bola_B	! @nh36	0 1 0 0 0 0	313	the meat	597	ʃa³⁵	the meat	ʃ a ³⁵	?	?	meat	ʃa³⁵  | 554	Bola DQ-Bola	1	CVT	ʃ a ³⁵
1860	Burmese_ZMYYC	! @nh36	0 1 0 0 0 0	313	the meat	597	a sāḥ	the meat	?	?	a sāḥ	meat / flesh	ɑ¹ thɑ³  | 399.39	Burmese (Written) ZMYYC	1	V_CVT	a ◦ s ā ḥ
1857	Lashi	! @nh36	0 1 0 0 0 4	313	the meat	597	ʃə̆⁵⁵nə̱k⁵⁵	the meat	ʃ ə̆ ⁵⁵ + n ə̱ k ⁵⁵	?	?	meat (lean) n	ʃə̆⁵⁵ nə̱k⁵⁵  | 0444.33	Leqi (Luxi) TBL	1 4	CVTCVcT	ʃ ə̆ ⁵⁵ ◦ n ə̱ k ⁵⁵
1867	Lashi	! @nh36	0 1 0 0 0 0	313	the meat	597	ʃo⁵⁵	the meat	ʃ o ⁵⁵	?	?	meat n	ʃo⁵⁵  | 0443.33	Leqi (Luxi) TBL	1	CVT	ʃ o ⁵⁵
1856	Maru	! @nh36	0 1 0 0 0 4	313	the meat	597	ʃɔ̆³⁵na̱k⁵⁵	the meat	ʃ ɔ̆ ³⁵ + n a̱ k ⁵⁵	?	?	meat (lean) n	ʃɔ̆³⁵ na̱k⁵⁵  | 0444.31	Langsu (Luxi) TBL	1 4	CVTCVcT	ʃ ɔ̆ ³⁵ ◦ n a̱ k ⁵⁵
1866	Maru	! @nh36	0 1 0 0 0 0	313	the meat	597	ʃɔ³⁵	the meat	ʃ ɔ ³⁵	?	?	meat n	ʃɔ³⁵  | 0443.31	Langsu (Luxi) TBL	1	CVT	ʃ ɔ ³⁵
1861	Maru_B	! @nh36	0 1 0 0 0 0	313	the meat	597	ʃɔ³⁵	the meat	ʃ ɔ ³⁵	?	?	meat / flesh	ʃɔ³⁵  | 399.43	Maru [Langsu] ZMYYC	1	CVT	ʃ ɔ ³⁵
1853	Xiandao	! @nh36	3 1 0 0 0 0	313	the meat	597	a³¹ʂɔ³¹	the meat	a ³¹ + ʂ ɔ ³¹	?	?	meat (lean) n	a³¹ ʂɔ³¹  | 0444.29	Achang (Xiandao) TBL	3 1	VTCVT	a ³¹ ◦ ʂ ɔ ³¹
1863	Xiandao	! @nh36	0 1 0 0 0 0	313	the meat	597	ʂɔ³¹	the meat	ʂ ɔ ³¹	?	?	meat n	ʂɔ³¹  | 0443.29	Achang (Xiandao) TBL	1	CVT	ʂ ɔ ³¹
1850	Xiandao_B	! @nh36	0 1 0 0 0 0	313	the meat	597	ʂɔ³¹	the meat	ʂ ɔ ³¹	?	?	meat	ʂɔ³¹  | 554	Achang (Xiandao) DQ-Xiandao	1	CVT	ʂ ɔ ³¹
#
1868	Achang_Lianghe	! @nh36	1	315	the medicine	517	mjɑ³¹	the medicine	m j ɑ ³¹	?	?	medicine	mjɑ³¹  | 0987.26	Achang (Lianghe) JZ-Achang	1	CCVT	m j ɑ ³¹
1875	Achang_Longchuan	! @nh36	1	315	the medicine	517	ȵ̥ɔ³¹	the medicine	ȵ̥ ɔ ³¹	?	?	medicine n	ȵ̥ɔ³¹  | 0456.28	Achang (Longchuan) TBL	1	CVT	ȵ̥ ɔ ³¹
1869	Achang_Longchuan_B	! @nh36	1	315	the medicine	517	ȵɔ³¹	the medicine	ȵ ɔ ³¹	?	?	medicine	ȵɔ³¹  | 509.41	Achang (Longchuan) ZMYYC	1	CVT	ȵ ɔ ³¹
1870	Achang_Luxi	! @nh36	1	315	the medicine	517	mjaʔ³¹	the medicine	m j a ʔ ³¹	?	?	medicine	mjaʔ³¹  | 101	Achang (Luxi) JZ-Achang	1	CCVcT	m j a ʔ ³¹
1877	Atsi	! @nh36	0 2	314	the medicine	517	tʃhi²¹	the medicine	tʃʰ i ²¹	?	?	medicine n	tʃhi²¹  | 0456.30	Atsi [Zaiwa] TBL	2	CVT	tʃh i ²¹
1871	Atsi_B	! @nh36	0 2	314	the medicine	517	tʃhi²¹	the medicine	tʃʰ i ²¹	?	?	medicine	tʃhi²¹  | 509.42	Atsi [Zaiwa] ZMYYC	2	CVT	tʃh i ²¹
1878	Bola	! @nh36	0 2	314	the medicine	517	tʃhɿ³⁵	the medicine	tʃʰ ɿ ³⁵	?	?	medicine n	tʃhɿ³⁵  | 0456.32	Bola (Luxi) TBL	2	CVT	tʃh ɿ ³⁵
1872	Burmese_ZMYYC	! @nh36	0 2	314	the medicine	517	cheḥ	the medicine	ch e ³	0	chiyḥ	medicine	hse³  | 509.39	Burmese (Written) ZMYYC	2	CVT	ch e ḥ
1874	Hpun	! @nh36	3 2	314	the medicine	517	kăʃì	the medicine	k ă + ʃ ì	?	?	medicine (see also Tobacco)	kăʃì(ʔ)  | L.271	Hpun (Northern) EJAH-Hpun	3 2	CVCV	k ă ◦ ʃ ì
1880	Lashi	! @nh36	0 2	314	the medicine	517	tʃhei⁵⁵	the medicine	tʃʰ e i ⁵⁵	?	?	medicine n	tʃhei⁵⁵  | 0456.33	Leqi (Luxi) TBL	2	CVT	tʃh ei ⁵⁵
1879	Maru	! @nh36	0 2	314	the medicine	517	tʃhik⁵⁵	the medicine	tʃʰ i k ⁵⁵	?	?	medicine n	tʃhik⁵⁵  | 0456.31	Langsu (Luxi) TBL	2	CVcT	tʃh i k ⁵⁵
1873	Maru_B	! @nh36	0 2	314	the medicine	517	tʃhik⁵⁵	the medicine	tʃʰ i k ⁵⁵	?	?	medicine	tʃhik⁵⁵  | 509.43	Maru [Langsu] ZMYYC	2	CVcT	tʃh i k ⁵⁵
1876	Xiandao	! @nh36	1	315	the medicine	517	ɲ̊ɔ³¹	the medicine	ɲ̊ ɔ ³¹	?	?	medicine n	ɲ̊ɔ³¹  | 0456.29	Achang (Xiandao) TBL	1	CVT	ɲ̊ ɔ ³¹
#
1396	Achang_Longchuan	! @nh36	0 0 3 0 6 0 0 0 0 0	238	the middle finger	420	lɔʔ³⁵ȵ̥au³¹	the finger	l ɔ ʔ ³⁵ + ȵ̥ a u ³¹	?	?	finger (middle) n	lɔʔ³⁵ ȵ̥au³¹  | 0111.28	Achang (Longchuan) TBL	3 6	CVcTCVT	l ɔ ʔ ³⁵ ◦ ȵ̥ au ³¹
1397	Atsi	! @nh36	9 9 0 0 6 0 0 0 0 0	238	the middle finger	420	kuŋ²¹kuŋ⁵¹ŋju̱i²¹	the finger	k u ŋ ²¹ + k u ŋ ⁵¹ + ŋ j u̱ i ²¹	?	?	finger (middle) n	kuŋ²¹ kuŋ⁵¹ ŋju̱i²¹  | 0111.30	Atsi [Zaiwa] TBL	9 9 6	CVcTCVcTCCVT	k u ŋ ²¹ ◦ k u ŋ ⁵¹ ◦ ŋ j u̱i ²¹
1398	Bola	! @nh36	9 9 0 0 6 0 0 0 0 0	238	the middle finger	420	kauŋ³¹kauŋ⁵⁵ŋju̱ŋ³⁵	the finger	k a u ŋ ³¹ + k a u ŋ ⁵⁵ + ŋ j u̱ ŋ ³⁵	?	?	finger (middle) n	kauŋ³¹ kauŋ⁵⁵ ŋju̱ŋ³⁵  | 0111.32	Bola (Luxi) TBL	9 9 6	CVcTCVcTCCVcT	k au ŋ ³¹ ◦ k au ŋ ⁵⁵ ◦ ŋ j u̱ ŋ ³⁵
1408	Bola_B	! @nh36	9 9 0 0 6 0 0 0 0 0	238	the middle finger	420	kauŋ³¹kauŋ⁵⁵ŋju̱ŋ³⁵	the finger	k a u ŋ ³¹ + k a u ŋ ⁵⁵ + ŋ j u̱ ŋ ³⁵	?	?	middle finger	kauŋ³¹ kauŋ⁵⁵ ŋju̱ŋ³⁵  | 135	Bola DQ-Bola	9 9 6	CVcTCVcTCCVcT	k au ŋ ³¹ ◦ k au ŋ ⁵⁵ ◦ ŋ j u̱ ŋ ³⁵
1400	Lashi	! @nh36	0 0 0 5 6 0 0 0 0 0	238	the middle finger	420	tuaŋ⁵⁵ŋjo̱⁵⁵	the finger	t u a ŋ ⁵⁵ + ŋ j o̱ ⁵⁵	?	?	finger (middle) n	tuaŋ⁵⁵ ŋjo̱⁵⁵  | 0111.33	Leqi (Luxi) TBL	5 6	CVcTCCVT	t ua ŋ ⁵⁵ ◦ ŋ j o̱ ⁵⁵
1399	Maru	! @nh36	9 9 0 0 6 0 0 0 0 0	238	the middle finger	420	kauŋ³⁵kauŋ³⁵ŋju̱k⁵⁵	the finger	k a u ŋ ³⁵ + k a u ŋ ³⁵ + ŋ j u̱ k ⁵⁵	?	?	finger (middle) n	kauŋ³⁵ kauŋ³⁵ ŋju̱k⁵⁵  | 0111.31	Langsu (Luxi) TBL	9 9 6	CVcTCVcTCCVcT	k au ŋ ³⁵ ◦ k au ŋ ³⁵ ◦ ŋ j u̱ k ⁵⁵
1409	Maru_C	! @nh36	9 9 0 0 6 0 0 0 0 0	238	the middle finger	420	kauŋ³⁵kauŋ³⁵ŋju̱k⁵⁵	the finger	k a u ŋ ³⁵ + k a u ŋ ³⁵ + ŋ j u̱ k ⁵⁵	?	?	middle finger	kauŋ³⁵ kauŋ³⁵ ŋju̱k⁵⁵  | 7.1.2	Maru [Langsu] DQ-Langsu	9 9 6	CVcTCVcTCCVcT	k au ŋ ³⁵ ◦ k au ŋ ³⁵ ◦ ŋ j u̱ k ⁵⁵
#
1881	Achang_Lianghe	! @nh36	25	318	the milk	617	ȵɛ̃³¹	the milk	ȵ ɛ̃ ³¹	?	?	milk	ȵɛ̃³¹  | 1681.02	Achang (Lianghe) JZ-Achang	25	CVVT	ȵ ɛ̃ ∼ ³¹
1895	Achang_Longchuan	! @nh36	0 1 0 2 0 0	316	the milk	617	n̥o³¹ȵau³⁵	the milk	n̥ o ³¹ + ȵ a u ³⁵	?	?	milk n	n̥o³¹ ȵau³⁵  | 0095.28	Achang (Longchuan) TBL	1 2	CVTCVT	n̥ o ³¹ ◦ ȵ au ³⁵
1882	Achang_Longchuan_C	! @nh36	0 0 0 2 0 0	316	the milk	617	nau³⁵	the milk	n a u ³⁵	?	?	milk	nau³⁵  | 0094.32	Achang (Longchuan) JZ-Achang	2	CVT	n au ³⁵
1883	Achang_Luxi	! @nh36	0 0 0 2 0 0	316	the milk	617	ȵɛn³¹	the milk	ȵ ɛ n ³¹	?	?	milk	ȵɛn³¹  | 1189.08	Achang (Luxi) JZ-Achang	2	CVcT	ȵ ɛ n ³¹
1897	Atsi	! @nh36	0 1 0 2 0 0	316	the milk	617	nŏ²¹nau⁵⁵	the milk	n ŏ ²¹ + n a u ⁵⁵	?	?	milk n	nŏ²¹ nau⁵⁵  | 0095.30	Atsi [Zaiwa] TBL	1 2	CVTCVT	n ŏ ²¹ ◦ n au ⁵⁵
1884	Atsi_C	! @nh36	0 0 0 2 0 0	316	the milk	617	nau⁵⁵	the milk	n a u ⁵⁵	?	?	milk	nau⁵⁵  | 0094.30	Atsi [Zaiwa] JZ-Zaiwa	2	CVT	n au ⁵⁵
1898	Bola	! @nh36	0 1 0 2 0 0	316	the milk	617	nɔ̆³¹nau³⁵	the milk	n ɔ̆ ³¹ + n a u ³⁵	?	?	milk n	nɔ̆³¹ nau³⁵  | 0095.32	Bola (Luxi) TBL	1 2	CVTCVT	n ɔ̆ ³¹ ◦ n au ³⁵
1891	Bola_B	! @nh36	0 1 0 2 0 0	316	the milk	617	nŏ³¹nau³⁵	the milk	n ŏ ³¹ + n a u ³⁵	?	?	milk (cow's)	nŏ³¹ nau³⁵  | 311	Bola DQ-Bola	1 2	CVTCVT	n ŏ ³¹ ◦ n au ³⁵
1885	Burmese_ZMYYC	! @nh36	0 1 0 0 0 0	316	the milk	617	nuiʔ	the milk	n o ¹	1	nuiwʔ	milk	no¹  | 281.39	Burmese (Written) ZMYYC	1	CVc	n ui ʔ
1889	Hpun	1 @lingulist, 0 @nh36	4 1 5 0 0 0	316	the milk	617	ănùʀaíŋ	the milk	ă + n ù + ʀ a í ŋ	?	?	milk ('breast liquid')	ă nù ʀaíŋ  | 150	Hpun (Northern) EJAH-Hpun	4 1 5	VCVCVc	ă ◦ n ù ◦ ʀ aí ŋ
1900	Lashi	! @nh36	0 1 0 2 0 0	316	the milk	617	nə̆³³nou⁵⁵	the milk	n ə̆ ³³ + n o u ⁵⁵	?	?	milk n	nə̆³³ nou⁵⁵  | 0095.33	Leqi (Luxi) TBL	1 2	CVTCVT	n ə̆ ³³ ◦ n ou ⁵⁵
1886	Lashi_B	! @nh36	0 0 0 2 7 0	316	the milk	617	nou⁵⁵jiŋ³¹	the milk	n o u ⁵⁵ + j i ŋ ³¹	?	?	milk	nou⁵⁵ jiŋ³¹  | 5.4.3	Lashi DQ-Lashi	2 7	CVTCVcT	n ou ⁵⁵ ◦ j i ŋ ³¹
1899	Maru	! @nh36	0 1 0 2 0 0	316	the milk	617	nŭŋ³⁵nuk⁵⁵	the milk	n ŭ ŋ ³⁵ + n u k ⁵⁵	?	?	milk n	nŭŋ³⁵ nuk⁵⁵  | 0095.31	Langsu (Luxi) TBL	1 2	CVcTCVcT	n ŭ ŋ ³⁵ ◦ n u k ⁵⁵
1888	Maru_B	! @nh36	0 0 0 2 0 0	316	the milk	617	nuk⁵⁵	the milk	n u k ⁵⁵	?	?	milk	nuk⁵⁵  | 281.43	Maru [Langsu] ZMYYC	2	CVcT	n u k ⁵⁵
1887	Maru_C	! @nh36	0 0 0 2 0 6	316	the milk	617	nuk⁵⁵ɣək³¹	the milk	n u k ⁵⁵ + ɣ ə k ³¹	?	?	milk	nuk⁵⁵ ɣək³¹  | 5.4.3	Maru [Langsu] DQ-Langsu	2 6	CVcTCVcT	n u k ⁵⁵ ◦ ɣ ə k ³¹
1896	Xiandao	! @nh36	0 1 0 2 0 0	316	the milk	617	no³¹nau³¹	the milk	n o ³¹ + n a u ³¹	?	?	milk n	no³¹ nau³¹  | 0095.29	Achang (Xiandao) TBL	1 2	CVTCVT	n o ³¹ ◦ n au ³¹
1890	Xiandao_B	! @nh36	0 1 0 2 0 0	316	the milk	617	no³¹nau³¹	the milk	n o ³¹ + n a u ³¹	?	?	milk (cow's)	no³¹ nau³¹  | 311	Achang (Xiandao) DQ-Xiandao	1 2	CVTCVT	n o ³¹ ◦ n au ³¹
#
1909	Achang_Lianghe	! @nh36	4 5	320	the monkey	270	lɑ³¹khɑŋ⁵⁵	the monkey	l ɑ ³¹ + kʰ ɑ ŋ ⁵⁵	?	?	monkey 2	lɑ³¹ khɑŋ⁵⁵  | 0614.20	Achang (Lianghe) JZ-Achang	4 5	CVTCVcT	l ɑ ³¹ ◦ kh ɑ ŋ ⁵⁵
1901	Achang_Longchuan	! @nh36	1	319	the monkey	270	ȵuʔ⁵⁵	the monkey	ȵ u ʔ ⁵⁵	?	?	monkey 1	ȵuʔ⁵⁵  | 0308.28 | cf. 0763.28	Achang (Longchuan) TBL	1	CVcT	ȵ u ʔ ⁵⁵
