ID	DOCULECT	CONCEPT	DOCULECT_IS	CONCEPT_NUMBER_IS	VALUE_IS	VALUE	NOTES	NOTES_MM	COGID	SEGMENTS
581	Maru	far	Maru	131	ăwā	ăwā	Atsi: F; Lisu: I; PL: La		131	ă + w ā
582	Proto-Burmish	far	PB	131	we²	we²	Atsi: F; Lisu: I; PL: La		131	w e ²
583	Proto-Lolo	far	PL	131	wə²	wə²	Atsi: F; Lisu: I; PL: La		131	w ə ²
584	Proto-Lolo-Burmese	far	PLB	131	wə²	wə²	Atsi: F; Lisu: I; PL: La		131	w ə ²
585	Rangoon	far	Spoken Burmese	131	wêi	wêi	Atsi: F; Lisu: I; PL: La		131	w ê i
586	Akha	fat	Akha	132	tsú	tsú	Lisu: F		132	t s ú
587	Atsi	fat	Atsi	132	tshú	tshú	Lisu: F		132	t s + h ú
588	Lisu	fat	Lisu	132	tshə̄	tshə̄	Lisu: F		132	t s + h ə̄
589	Maru	fat	Maru	132	tshàu	tshàu	Lisu: F		132	t s + h à u
590	Proto-Burmish	fat	PB	132	tshu¹ᵇ	tshu¹ᵇ	Lisu: F		132	t s + h u ¹ᵇ
591	Proto-Lolo	fat	PL	132	tshu¹	tshu¹	Lisu: F		132	t s + h u ¹
592	Proto-Lolo-Burmese	fat	PLB	132	tshu¹ᵇ	tshu¹ᵇ	Lisu: F		132	t s + h u ¹ᵇ
593	Rangoon	fat	Spoken Burmese	132	shú	shú	Lisu: F		132	s h ú
594	Atsi	fear	Atsi	133	kyuʔ	kyuʔ	PL:La		133	k yu ʔ
595	Maru	fear	Maru	133	kyòk	kyòk	PL:La		133	k y ò k
596	Proto-Burmish	fear	PB	133	kyok	kyok	PL:La		133	k yo k
597	Proto-Lolo	fear	PL	133	g̯oʔ²	g̯oʔ²	PL:La		133	g̯ o ʔ ²
598	Proto-Lolo-Burmese	fear	PLB	133	kyok²	kyok²	PL:La		133	k yo k ²
599	Rangoon	fear	Spoken Burmese	133	cauʔ	cauʔ	PL:La		133	c au ʔ
608	Atsi	feather-body hair	Atsi	135	šòmāu	šòmāu	BSB: FT		135	š ò + m ā u
609	Lisu	feather-body hair	Lisu	135	mû̸	mû̸	BSB: FT		135	m û̸
610	Maru	feather-body hair	Maru	135	múk	múk	BSB: FT		135	m ú k
611	Proto-Burmish	feather-body hair	PB	135	mo³	mo³	BSB: FT		135	m o ³
612	Proto-Lolo	feather-body hair	PL	135	mo³	mo³	BSB: FT		135	m o ³
613	Proto-Lolo-Burmese	feather-body hair	PLB	135	mo³	mo³	BSB: FT		135	m o ³
614	Rangoon	feather-body hair	Spoken Burmese	135	ămwêi	ămwêi	BSB: FT		135	ă + m w ê i
600	Akha	female suffix	Akha	134	àmā	àmā	BSB: ElSi; Atsi: SoWi; Maru: SoWi; Lisu, Akha: 'Mother'		134	à + m ā
601	Atsi	female suffix	Atsi	134	tùmō	tùmō	BSB: ElSi; Atsi: SoWi; Maru: SoWi; Lisu, Akha: 'Mother'		134	t ù + m ō
602	Lisu	female suffix	Lisu	134	mămâ	mămâ	BSB: ElSi; Atsi: SoWi; Maru: SoWi; Lisu, Akha: 'Mother'		134	m ă + m â
603	Maru	female suffix	Maru	134	tàumó	tàumó	BSB: ElSi; Atsi: SoWi; Maru: SoWi; Lisu, Akha: 'Mother'		134	t à u + m ó
604	Proto-Burmish	female suffix	PB	134	ma³	ma³	BSB: ElSi; Atsi: SoWi; Maru: SoWi; Lisu, Akha: 'Mother'		134	m a ³
605	Proto-Lolo	female suffix	PL	134	ma³	ma³	BSB: ElSi; Atsi: SoWi; Maru: SoWi; Lisu, Akha: 'Mother'		134	m a ³
606	Proto-Lolo-Burmese	female suffix	PLB	134	ma³	ma³	BSB: ElSi; Atsi: SoWi; Maru: SoWi; Lisu, Akha: 'Mother'		134	m a ³
607	Rangoon	female suffix	Spoken Burmese	134	ămà	ămà	BSB: ElSi; Atsi: SoWi; Maru: SoWi; Lisu, Akha: 'Mother'		134	ă + m à
615	Akha	field (dry)	Akha	136	yá	yá			136	yá
616	Atsi	field (dry)	Atsi	136	yô	yô			136	y ô
617	Lisu	field (dry)	Lisu	136	ha	ha			136	h a
618	Maru	field (dry)	Maru	136	yò	yò			136	y ò
619	Proto-Burmish	field (dry)	PB	136	ya¹ᵃ	ya¹ᵃ			136	ya ¹ᵃ
620	Proto-Lolo	field (dry)	PL	136	hya¹	hya¹			136	h ya ¹
621	Proto-Lolo-Burmese	field (dry)	PLB	136	hya¹ᵃ	hya¹ᵃ			136	h ya ¹ᵃ
622	Rangoon	field (dry)	Spoken Burmese	136	yá	yá			136	yá
623	Atsi	fight	Atsi	137	pyoʔlʔúm	pyoʔlʔúm			137	p yo + ʔ l + ʔ ú m
624	Maru	fight	Maru	137	cʔópyò	cʔópyò			137	c ʔ ó + p y ò
625	Proto-Burmish	fight	PB	137	pya²	pya²			137	p ya ²
626	Atsi	finger-1	Atsi	138	nʔyùi	nʔyùi			138	n ʔ y ù i
627	Maru	finger-1	Maru	138	nʔyuk	nʔyuk			138	n ʔ yu k
628	Proto-Burmish	finger-1	PB	138	nʔyo²	nʔyo²			138	n ʔ yo ²
629	Rangoon	finger-1	Spoken Burmese	138	hnyôu	hnyôu			138	h n y ô u
630	Akha	finger-2	Akha	139	nǿ	nǿ			139	n ǿ
631	Proto-Lolo	finger-2	PL	139	nʔo¹	nʔo¹			139	n ʔ o ¹
632	Akha	fire	Akha	140	mì	mì	Lahu: T		140	m ì
633	Atsi	fire	Atsi	140	myì	myì	Lahu: T		140	m y ì
634	Maru	fire	Maru	140	mī	mī	Lahu: T		140	m ī
635	Proto-Burmish	fire	PB	140	mi²	mi²	Lahu: T		140	m i ²
636	Proto-Lolo	fire	PL	140	mi²	mi²	Lahu: T		140	m i ²
637	Proto-Lolo-Burmese	fire	PLB	140	mi²	mi²	Lahu: T		140	m i ²
638	Rangoon	fire	Spoken Burmese	140	mî	mî	Lahu: T		140	m î
639	Atsi	firewood	Atsi	141	thàŋ	thàŋ			141	t h à ŋ
640	Maru	firewood	Maru	141	thā	thā			141	t h ā
641	Proto-Burmish	firewood	PB	141	thaŋ²	thaŋ²			141	t h a ŋ ²
642	Rangoon	firewood	Spoken Burmese	141	thîn	thîn			141	t h î n
643	Akha	fish	Akha	142	ŋà	ŋà	Lisu: T		142	ŋ à
644	Atsi	fish	Atsi	142	ŋòtsò	ŋòtsò	Lisu: T		142	ŋ ò + t s ò
645	Lisu	fish	Lisu	142	ŋwá	ŋwá	Lisu: T		142	ŋ w á
646	Maru	fish	Maru	142	ŋō	ŋō	Lisu: T		142	ŋ ō
647	Proto-Burmish	fish	PB	142	ŋa²	ŋa²	Lisu: T		142	ŋ a ²
648	Proto-Lolo	fish	PL	142	ŋa²	ŋa²	Lisu: T		142	ŋ a ²
649	Proto-Lolo-Burmese	fish	PLB	142	ŋa²	ŋa²	Lisu: T		142	ŋ a ²
650	Rangoon	fish	Spoken Burmese	142	ŋâ	ŋâ	Lisu: T		142	ŋ â
651	Akha	five	Akha	143	ŋà	ŋà	Maru: T		143	ŋ à
652	Atsi	five	Atsi	143	ŋòlʔùm	ŋòlʔùm	Maru: T		143	ŋ ò l + ʔ ù m
653	Lisu	five	Lisu	143	ŋwà	ŋwà	Maru: T		143	ŋ w à
654	Maru	five	Maru	143	ŋó	ŋó	Maru: T		143	ŋ ó
655	Proto-Burmish	five	PB	143	ŋa²	ŋa²	Maru: T		143	ŋ a ²
656	Proto-Lolo	five	PL	143	ŋa²	ŋa²	Maru: T		143	ŋ a ²
657	Proto-Lolo-Burmese	five	PLB	143	ŋa²	ŋa²	Maru: T		143	ŋ a ²
658	Rangoon	five	Spoken Burmese	143	ŋâ	ŋâ	Maru: T		143	ŋ â
659	Atsi	flame	Atsi	144	šám	šám	BSB: I		144	š á m
660	Maru	flame	Maru	144	šìn	šìn	BSB: I		144	š ì n
661	Proto-Burmish	flame	PB	144	šam¹ᵇ	šam¹ᵇ	BSB: I		144	š a m ¹ᵇ
662	Rangoon	flame	Spoken Burmese	144	hlyán	hlyán	BSB: I		144	h l yá n
663	Atsi	flea	Atsi	145	khòʔlʔài	khòʔlʔài			145	k h ò + ʔ l + ʔ à i
664	Maru	flea	Maru	145	khălʔà	khălʔà			145	k h ă l + ʔ à
665	Proto-Burmish	flea	PB	145	lʔei²ᶜ	lʔei²ᶜ			145	l ʔ ei ²ᶜ
666	Rangoon	flea	Spoken Burmese	145	hlêi	hlêi			145	h l ê i
667	Akha	flee	Akha	146	pɔ́	pɔ́			146	p ɔ́
668	Proto-Lolo	flee	PL	146	phɔ¹	phɔ¹			146	p h ɔ ¹
676	Atsi	flower (classifier)	Atsi	149	pō	pō			149	p ō
677	Maru	flower (classifier)	Maru	149	pú	pú			149	p ú
678	Proto-Burmish	flower (classifier)	PB	149	pwa³	pwa³			149	p w a ³
669	Atsi	flower-1 (noun)	Atsi	147	pàn	pàn			147	p à n
670	Maru	flower-1 (noun)	Maru	147	năpīn	năpīn			147	n ă + p ī n
671	Proto-Burmish	flower-1 (noun)	PB	147	pan²	pan²			147	p a n ²
672	Rangoon	flower-1 (noun)	Spoken Burmese	147	pân	pân			147	p â n
673	Akha	flower-2 (cf. tree-3)	Akha	148	áyɛ̄ʔ	áyɛ̄ʔ			148	áyɛ̄ ʔ
674	Lisu	flower-2 (cf. tree-3)	Lisu	148	sǐwê	sǐwê			148	s ǐ + w ê
675	Proto-Lolo	flower-2 (cf. tree-3)	PL	148	weʔ²	weʔ²			148	w e ʔ ²
683	Lisu	fly-1 (verb)	Lisu	151	byø̄	byø̄	PB: Bu		151	b yø̄
684	Proto-Burmish	fly-1 (verb)	PB	151	pyan¹	pyan¹	PB: Bu		151	p ya n ¹
685	Proto-Lolo	fly-1 (verb)	PL	151	byan¹	byan¹	PB: Bu		151	b ya n ¹
686	Proto-Lolo-Burmese	fly-1 (verb)	PLB	151	pyan¹	pyan¹	PB: Bu		151	p ya n ¹
687	Rangoon	fly-1 (verb)	Spoken Burmese	151	pyán	pyán	PB: Bu		151	p yá n
688	Atsi	fly-2 (verb)	Atsi	152	táŋ	táŋ			152	t á ŋ
689	Maru	fly-2 (verb)	Maru	152	tà	tà			152	t à
690	Proto-Burmish	fly-2 (verb)	PB	152	taŋ¹ᵇ	taŋ¹ᵇ			152	t a ŋ ¹ᵇ
679	Atsi	fly-gnat	Atsi	150	pʔyup	pʔyup			150	p ʔ yu p
680	Maru	fly-gnat	Maru	150	pʔyap	pʔyap			150	p ʔ ya p
681	Proto-Burmish	fly-gnat	PB	150	pʔyup	pʔyup			150	p ʔ yu p
682	Rangoon	fly-gnat	Spoken Burmese	150	phyouʔ	phyouʔ			150	p h you ʔ
691	Atsi	follow	Atsi	153	cháŋ	cháŋ			153	c h á ŋ
692	Proto-Burmish	follow	PB	153	chaŋ²	chaŋ²			153	c h a ŋ ²
693	Rangoon	follow	Spoken Burmese	153	chîn	chîn			153	c h î n
694	Akha	foot-leg	Akha	154	àkɨ́	àkɨ́			154	à + k ɨ́
695	Atsi	foot-leg	Atsi	154	khyí	khyí			154	k h yí
696	Maru	foot-leg	Maru	154	khyìt	khyìt			154	k h y ì t
697	Proto-Burmish	foot-leg	PB	154	khyei¹ᵇ	khyei¹ᵇ			154	k h yei ¹ᵇ
698	Proto-Lolo	foot-leg	PL	154	k̯hə¹	k̯hə¹			154	k̯ h ə ¹
699	Proto-Lolo-Burmese	foot-leg	PLB	154	khyə¹ᵇ	khyə¹ᵇ			154	k h yə ¹ᵇ
700	Rangoon	foot-leg	Spoken Burmese	154	chéi	chéi			154	c h é i
701	Akha	four	Akha	155	ø̀	ø̀			155	ø̀
702	Proto-Lolo	four	PL	155	o²	o²			155	o ²
703	Atsi	fowl	Atsi	156	voʔ	voʔ	PLB: C; PB: C; PL: Lahu		156	v o ʔ
704	Maru	fowl	Maru	156	γòʔ	γòʔ	PLB: C; PB: C; PL: Lahu		156	 + γ ò ʔ
705	Proto-Burmish	fowl	PB	156	kγaʔ	kγaʔ	PLB: C; PB: C; PL: Lahu		156	k γ a ʔ
706	Proto-Lolo	fowl	PL	156	γa²	γa²	PLB: C; PB: C; PL: Lahu		156	 + γ a ²
707	Proto-Lolo-Burmese	fowl	PLB	156	kγaʔ²	kγaʔ²	PLB: C; PB: C; PL: Lahu		156	k γ a ʔ ²
708	Rangoon	fowl	Spoken Burmese	156	ceʔ	ceʔ	PLB: C; PB: C; PL: Lahu		156	c e ʔ
709	Akha	frog	Akha	157	xàpà	xàpà			157	x à + p à
710	Atsi	frog	Atsi	157	pʔò	pʔò			157	p ʔ ò
711	Lisu	frog	Lisu	157	wúpá	wúpá			157	w ú + p á
712	Maru	frog	Maru	157	pʔō	pʔō			157	p ʔ ō
713	Proto-Burmish	frog	PB	157	pʔa²	pʔa²			157	p ʔ a ²
714	Proto-Lolo	frog	PL	157	pa²	pa²			157	p a ²
715	Proto-Lolo-Burmese	frog	PLB	157	pʔa²	pʔa²			157	p ʔ a ²
716	Rangoon	frog	Spoken Burmese	157	phâ	phâ			157	p h â
721	Akha	fruit	Akha	159	ásì	ásì	Maru: cf. 'tree-1'		159	á + s ì
722	Atsi	fruit	Atsi	159	šì	šì	Maru: cf. 'tree-1'		159	š ì
723	Lisu	fruit	Lisu	159	sə́sə̀	sə́sə̀	Maru: cf. 'tree-1'		159	s ə́ + s ə̀
724	Maru	fruit	Maru	159	sákšì	sákšì	Maru: cf. 'tree-1'		159	s á + k š ì
725	Proto-Burmish	fruit	PB	159	ši²ᶜ	ši²ᶜ	Maru: cf. 'tree-1'		159	š i ²ᶜ
726	Proto-Lolo	fruit	PL	159	si²	si²	Maru: cf. 'tree-1'		159	s i ²
727	Proto-Lolo-Burmese	fruit	PLB	159	ši²ᶜ	ši²ᶜ	Maru: cf. 'tree-1'		159	š i ²ᶜ
728	Rangoon	fruit	Spoken Burmese	159	ăθî	ăθî	Maru: cf. 'tree-1'		159	ă + θ î
729	Akha	full	Akha	160	byɔ̄n	byɔ̄n	Lahu: TIF		160	b yɔ̄ n
730	Atsi	full	Atsi	160	pyīŋ	pyīŋ	Lahu: TIF		160	p y ī ŋ
731	Lisu	full	Lisu	160	bî	bî	Lahu: TIF		160	b î
732	Maru	full	Maru	160	pyáŋ	pyáŋ	Lahu: TIF		160	p yá ŋ
733	Proto-Burmish	full	PB	160	pyiŋ³	pyiŋ³	Lahu: TIF		160	p yi ŋ ³
734	Proto-Lolo	full	PL	160	byiŋ³	byiŋ³	Lahu: TIF		160	b yi ŋ ³
735	Proto-Lolo-Burmese	full	PLB	160	pyiŋ³	pyiŋ³	Lahu: TIF		160	p yi ŋ ³
736	Rangoon	full	Spoken Burmese	160	pyì	pyì	Lahu: TIF		160	p y ì
737	Akha	garden	Akha	161	yákḿ	yákḿ	BSB: 'fence'; Maru 'wall'		161	yá k ḿ
738	Atsi	garden	Atsi	161	khyám	khyám	BSB: 'fence'; Maru 'wall'		161	k h yá m
739	Maru	garden	Maru	161	khìnγìn	khìnγìn	BSB: 'fence'; Maru 'wall'		161	k h ì n + γ ì n
740	Proto-Burmish	garden	PB	161	khyam¹ᵇ	khyam¹ᵇ	BSB: 'fence'; Maru 'wall'		161	k h ya m ¹ᵇ
741	Proto-Lolo	garden	PL	161	k̯ham¹	k̯ham¹	BSB: 'fence'; Maru 'wall'		161	k̯ h a m ¹
742	Proto-Lolo-Burmese	garden	PLB	161	khyam¹ᵇ	khyam¹ᵇ	BSB: 'fence'; Maru 'wall'		161	k h ya m ¹ᵇ
743	Rangoon	garden	Spoken Burmese	161	chán	chán	BSB: 'fence'; Maru 'wall'		161	c h á n
744	Akha	get	Akha	162	zā	zā	Maru: IFT		162	z ā
745	Atsi	get	Atsi	162	vō	vō	Maru: IFT		162	v ō
746	Maru	get	Maru	162	théʔyù	théʔyù	Maru: IFT		162	t h é + ʔ y ù
747	Proto-Burmish	get	PB	162	γa³	γa³	Maru: IFT		162	 + γ a ³
748	Proto-Lolo	get	PL	162	γa³	γa³	Maru: IFT		162	 + γ a ³
749	Proto-Lolo-Burmese	get	PLB	162	γa³	γa³	Maru: IFT		162	 + γ a ³
750	Rangoon	get	Spoken Burmese	162	yà	yà	Maru: IFT		162	y à
751	Atsi	ginger	Atsi	163	chàŋ	chàŋ			163	c h à ŋ
752	Maru	ginger	Maru	163	chākʔoʔ	chākʔoʔ			163	c h ā k + ʔ o ʔ
753	Proto-Burmish	ginger	PB	163	chaŋ²	chaŋ²			163	c h a ŋ ²
754	Rangoon	ginger	Spoken Burmese	163	jîn	jîn			163	j î n
755	Akha	give	Akha	164	bìʔ	bìʔ	PL: Lahu; Akha: T		164	b ì ʔ
756	Atsi	give	Atsi	164	pyí	pyí	PL: Lahu; Akha: T		164	p yí
757	Proto-Burmish	give	PB	164	pei²	pei²	PL: Lahu; Akha: T		164	p ei ²
758	Proto-Lolo	give	PL	164	bi²	bi²	PL: Lahu; Akha: T		164	b i ²
759	Proto-Lolo-Burmese	give	PLB	164	pei²	pei²	PL: Lahu; Akha: T		164	p ei ²
760	Rangoon	give	Spoken Burmese	164	pêi	pêi	PL: Lahu; Akha: T		164	p ê i
761	Atsi	granary	Atsi	165	cʔí	cʔí	BSB: I		165	c ʔ í
762	Maru	granary	Maru	165	cʔì	cʔì	BSB: I		165	c ʔ ì
763	Proto-Burmish	granary	PB	165	cʔi¹ᵇ	cʔi¹ᵇ	BSB: I		165	c ʔ i ¹ᵇ
764	Rangoon	granary	Spoken Burmese	165	cí	cí	BSB: I		165	c í
765	Maru	grandchild	Maru	166	myít	myít			166	m yí t
766	Proto-Burmish	grandchild	PB	166	myei²ᶜ	myei²ᶜ			166	m yei ²ᶜ
767	Rangoon	grandchild	Spoken Burmese	166	myêi	myêi			166	m y ê i
768	Atsi	grandfather	Atsi	167	áphyì	áphyì	BSB: F		167	á + p h y ì
769	Maru	grandfather	Maru	167	phyít	phyít	BSB: F		167	p h yí t
770	Proto-Burmish	grandfather	PB	167	phyei²	phyei²	BSB: F		167	p h yei ²
771	Rangoon	grandfather	Spoken Burmese	167	ăphwâ	ăphwâ	BSB: F		167	ă + p h w â
772	Atsi	grandmother	Atsi	168	áphàu	áphàu			168	á + p h à u
773	Maru	grandmother	Maru	168	phúk	phúk			168	p h ú k
774	Proto-Burmish	grandmother	PB	168	pho²	pho²			168	p h o ²
775	Rangoon	grandmother	Spoken Burmese	168	ăphôu	ăphôu			168	ă + p h ô u
776	Atsi	grass-1	Atsi	169	myoʔ	myoʔ			169	m yo ʔ
777	Proto-Burmish	grass-1	PB	169	myaʔ	myaʔ			169	m ya ʔ
778	Rangoon	grass-1	Spoken Burmese	169	myeʔ	myeʔ			169	m ye ʔ
779	Akha	grass-2	Akha	170	mɔ̀ʔ	mɔ̀ʔ			170	m ɔ̀ ʔ
780	Lisu	grass-2	Lisu	170	moʔ	moʔ			170	m o ʔ
781	Proto-Lolo	grass-2	PL	170	moʔ¹	moʔ¹			170	m o ʔ ¹
782	Atsi	green-1	Atsi	171	nyûi	nyûi	BSB: 'brown'; Maru: G	Burling's green-2 looks cognate	171	n y û i
783	Maru	green-1	Maru	171	nyùʔ	nyùʔ	BSB: 'brown'; Maru: G	Burling's green-2 looks cognate	171	n y ù ʔ
784	Proto-Burmish	green-1	PB	171	nyo¹ᵃ	nyo¹ᵃ	BSB: 'brown'; Maru: G	Burling's green-2 looks cognate	171	n yo ¹ᵃ
785	Rangoon	green-1	Spoken Burmese	171	nyóu	nyóu	BSB: 'brown'; Maru: G	Burling's green-2 looks cognate	171	n y ó u
786	Akha	green-2	Akha	172	nyǿ	nyǿ	Lahu: 'yellow'	Burling's green-1 looks cognate	172	n y ǿ
787	Proto-Lolo	green-2	PL	172	nʔyo¹	nʔyo¹	Lahu: 'yellow'	Burling's green-1 looks cognate	172	n ʔ yo ¹
788	Atsi	grow	Atsi	173	yuʔ	yuʔ			173	yu ʔ
789	Maru	grow	Maru	173	yòk	yòk			173	y ò k
790	Proto-Burmish	grow	PB	173	yok	yok			173	yo k
791	Rangoon	grow	Spoken Burmese	173	yauʔ	yauʔ			173	yau ʔ
792	Atsi	hair	Atsi	174	tshám	tshám			174	t s + h á m
793	Maru	hair	Maru	174	tshìn	tshìn			174	t s + h ì n
794	Proto-Burmish	hair	PB	174	tsham¹ᵇ	tsham¹ᵇ			174	t s + h a m ¹ᵇ
795	Rangoon	hair	Spoken Burmese	174	shán	shán			174	s h á n
796	Atsi	hammer	Atsi	176	păttû	păttû	Lahu: T		175	p ă + tt û
797	Maru	hammer	Maru	176	tàu	tàu	Lahu: T		175	t à u
798	Proto-Burmish	hammer	PB	176	tu¹ᵃ	tu¹ᵃ	Lahu: T		175	t u ¹ᵃ
799	Rangoon	hammer	Spoken Burmese	176	tú	tú	Lahu: T		175	t ú
800	Akha	hand	Akha	177	àlàʔ	àlàʔ			176	à + l à ʔ
801	Atsi	hand	Atsi	177	loʔ	loʔ			176	l o ʔ
802	Lisu	hand	Lisu	177	læʔ	læʔ			176	l æ ʔ
803	Maru	hand	Maru	177	lòʔ	lòʔ			176	l ò ʔ
804	Proto-Burmish	hand	PB	177	laʔ	laʔ			176	l a ʔ
805	Proto-Lolo	hand	PL	177	laʔ¹	laʔ¹			176	l a ʔ ¹
806	Proto-Lolo-Burmese	hand	PLB	177	laʔ¹	laʔ¹			176	l a ʔ ¹
807	Rangoon	hand	Spoken Burmese	177	leʔ	leʔ			176	l e ʔ
808	Atsi	hat	Atsi	178	muʔ	muʔ			177	m u ʔ
809	Proto-Burmish	hat	PB	178	mok	mok			177	m o k
810	Rangoon	hat	Spoken Burmese	178	khămauʔ	khămauʔ			177	k h ă + m au ʔ
811	Lisu	have	Lisu	179	dzɔ̄	dzɔ̄			178	d z ɔ̄
812	Proto-Lolo	have	PL	179	dzɔ¹	dzɔ¹			178	d z ɔ ¹
813	Akha	head	Akha	180	ùdù	ùdù		au¹¹ originally in Burling Atsi column (not input by me) is not Burling Atsi. Is it Mann or Lustig's Zaiwa? Burling's form is 'pillow'.	179	ù + d ù
814	Atsi	head	Atsi	180	ùkhuʔ	ùkhuʔ		au¹¹ originally in Burling Atsi column (not input by me) is not Burling Atsi. Is it Mann or Lustig's Zaiwa? Burling's form is 'pillow'.	179	ù + k h u ʔ
815	Lisu	head	Lisu	180	wúdû̸	wúdû̸		au¹¹ originally in Burling Atsi column (not input by me) is not Burling Atsi. Is it Mann or Lustig's Zaiwa? Burling's form is 'pillow'.	179	w ú + d û̸
816	Maru	head	Maru	180	āu	āu		au¹¹ originally in Burling Atsi column (not input by me) is not Burling Atsi. Is it Mann or Lustig's Zaiwa? Burling's form is 'pillow'.	179	ā u
817	Proto-Burmish	head	PB	180	u²	u²		au¹¹ originally in Burling Atsi column (not input by me) is not Burling Atsi. Is it Mann or Lustig's Zaiwa? Burling's form is 'pillow'.	179	u ²
818	Proto-Lolo	head	PL	180	u²	u²		au¹¹ originally in Burling Atsi column (not input by me) is not Burling Atsi. Is it Mann or Lustig's Zaiwa? Burling's form is 'pillow'.	179	u ²
819	Proto-Lolo-Burmese	head	PLB	180	u²	u²		au¹¹ originally in Burling Atsi column (not input by me) is not Burling Atsi. Is it Mann or Lustig's Zaiwa? Burling's form is 'pillow'.	179	u ²
820	Rangoon	head	Spoken Burmese	180	û	û		au¹¹ originally in Burling Atsi column (not input by me) is not Burling Atsi. Is it Mann or Lustig's Zaiwa? Burling's form is 'pillow'.	179	û
821	Akha	hear	Akha	181	gà	gà			180	g à
822	Atsi	hear	Atsi	181	kyó	kyó			180	k y ó
823	Maru	hear	Maru	181	kyō	kyō			180	k y ō
824	Proto-Burmish	hear	PB	181	kya²	kya²			180	k ya ²
825	Proto-Lolo	hear	PL	181	g̯a²	g̯a²			180	g̯ a ²
826	Proto-Lolo-Burmese	hear	PLB	181	kya²	kya²			180	k ya ²
827	Rangoon	hear	Spoken Burmese	181	câ	câ			180	c â
828	Akha	heart	Akha	182	nɨ̄mā	nɨ̄mā			181	n ɨ̄ + m ā
829	Lisu	heart	Lisu	182	nǐmâ	nǐmâ			181	n ǐ + m â
830	Proto-Lolo	heart	PL	182	ma³	ma³			181	m a ³
831	Atsi	heavy	Atsi	183	lái	lái	PL: Lisu		182	l ái
832	Lisu	heavy	Lisu	183	lì	lì	PL: Lisu		182	l ì
833	Maru	heavy	Maru	183	là	là	PL: Lisu		182	l à
834	Proto-Burmish	heavy	PB	183	lei²ᶜ	lei²ᶜ	PL: Lisu		182	l ei ²ᶜ
835	Proto-Lolo	heavy	PL	183	lei²	lei²	PL: Lisu		182	l ei ²
836	Proto-Lolo-Burmese	heavy	PLB	183	lei²ᶜ	lei²ᶜ	PL: Lisu		182	l ei ²ᶜ
837	Rangoon	heavy	Spoken Burmese	183	lêi	lêi	PL: Lisu		182	l ê i
838	Akha	high	Akha	184	yɔ̄mɔ́n	yɔ̄mɔ́n	BSB: IT; PL: Lisu; Lahu: F; Akha: 'long'		183	yɔ̄ + m ɔ́ n
839	Atsi	high	Atsi	184	mʔyâŋ	mʔyâŋ	BSB: IT; PL: Lisu; Lahu: F; Akha: 'long'		183	m ʔ y â ŋ
840	Lisu	high	Lisu	184	mô	mô	BSB: IT; PL: Lisu; Lahu: F; Akha: 'long'		183	m ô
841	Maru	high	Maru	184	mʔyà	mʔyà	BSB: IT; PL: Lisu; Lahu: F; Akha: 'long'		183	m ʔ y à
842	Proto-Burmish	high	PB	184	mʔyaŋ¹ᵃ	mʔyaŋ¹ᵃ	BSB: IT; PL: Lisu; Lahu: F; Akha: 'long'		183	m ʔ ya ŋ ¹ᵃ
843	Proto-Lolo	high	PL	184	mʔɔ¹	mʔɔ¹	BSB: IT; PL: Lisu; Lahu: F; Akha: 'long'		183	m ʔ ɔ ¹
844	Proto-Lolo-Burmese	high	PLB	184	mʔyaŋ¹ᵃ	mʔyaŋ¹ᵃ	BSB: IT; PL: Lisu; Lahu: F; Akha: 'long'		183	m ʔ ya ŋ ¹ᵃ
845	Rangoon	high	Spoken Burmese	184	myìn	myìn	BSB: IT; PL: Lisu; Lahu: F; Akha: 'long'		183	m y ì n
846	Lisu	hole (classifier)	Lisu	185	khū	khū			184	k h ū
847	Proto-Lolo	hole (classifier)	PL	185	ḳho¹	ḳho¹			184	ḳ h o ¹
848	Atsi	horns	Atsi	186	khyúi	khyúi	BSB: V; Maru: G; PL: Lahu		185	k h yúi
849	Maru	horns	Maru	186	khyùʔ	khyùʔ	BSB: V; Maru: G; PL: Lahu		185	k h y ù ʔ
850	Proto-Burmish	horns	PB	186	khyo¹ᵇ	khyo¹ᵇ	BSB: V; Maru: G; PL: Lahu		185	k h yo ¹ᵇ
851	Proto-Lolo	horns	PL	186	k̯ho¹	k̯ho¹	BSB: V; Maru: G; PL: Lahu		185	k̯ h o ¹
852	Proto-Lolo-Burmese	horns	PLB	186	khyo¹ᵇ	khyo¹ᵇ	BSB: V; Maru: G; PL: Lahu		185	k h yo ¹ᵇ
853	Rangoon	horns	Spoken Burmese	186	ûjóu	ûjóu	BSB: V; Maru: G; PL: Lahu		185	û + j ó u
854	Akha	horse	Akha	187	mɔ̀n	mɔ̀n	PL: Lisu; Lahu, Akha: F		186	m ɔ̀ n
855	Atsi	horse	Atsi	187	myàŋ	myàŋ	PL: Lisu; Lahu, Akha: F		186	m y à ŋ
856	Lisu	horse	Lisu	187	ámɔ̀	ámɔ̀	PL: Lisu; Lahu, Akha: F		186	á + m ɔ̀
857	Maru	horse	Maru	187	myā	myā	PL: Lisu; Lahu, Akha: F		186	m y ā
858	Proto-Burmish	horse	PB	187	myaŋ²	myaŋ²	PL: Lisu; Lahu, Akha: F		186	m ya ŋ ²
859	Proto-Lolo	horse	PL	187	mɔ²	mɔ²	PL: Lisu; Lahu, Akha: F		186	m ɔ ²
